29	8	4
172.026	57.962	173.886	.	1	0	1	1
4337.72	2188.56	6565.68	.	1	0	1	1
10446.7	8890.5	26671.5	.	1	0	1	1
5.40234e-8	2.39e-8	7.17e-8	.	1	0	1	1
1568.01	1324.41	3973.23	.	1	0	1	1
9002.05	6694.25	20082.8	.	1	0	1	1
4.49029e-7	4.22e-7	1.266e-6	.	1	0	1	1
0.00954737	0.0076	0.0228	.	1	0	1	1
6.50892e-6	4.01e-6	1.203e-5	.	1	0	1	1
2.36397e-6	8.8e-7	2.64e-6	.	1	0	1	1
0.00401089	0.00144396	0.00433189	.	1	0	1	1
5.85446e-6	2.42e-6	7.26e-6	.	1	0	1	1
1.40927	0.476245	1.42874	.	1	0	1	1
1.9146	0.664745	1.99423	.	1	0	1	1
0.00807811	0.0027	0.0081	.	1	0	1	1
506376	169369	508107	.	1	0	1	1
12264.5	11429	34287	.	1	0	1	1
1.18e-5	5.9e-6	1.77e-5	.	0	0	0	0
1.02309	0.341081	1.02324	.	1	0	1	1
1025.89	574.91	1724.73	.	1	0	1	1
0	0	0	.	0	0	0	0
0	0	0	.	0	0	0	0
0	0	0	.	0	0	0	0
5069.03	3450.07	10350.2	.	1	0	1	1
0.0037266	0.00309562	0.00928687	.	1	0	1	1
2.4495	0.001	30	.	1	1	1	1
2.17934e-5	1e-5	10	.	1	1	1	1
2.36849	0.01	30	.	1	1	1	1
0.0590699	0.001	10	.	1	1	1	1
.	.	.	.	0	0	0	0
.	.	.	.	0	0	0	0
.	.	.	.	0	0	0	0
.	.	.	.	0	0	0	0
.	.	.	.	0	0	0	0
.	.	.	.	0	0	0	0
.	.	.	.	0	0	0	0
.	.	.	.	0	0	0	0
